vehicle_id,cust_id,driver_id,trip_id,trip_date,start_point,end_point,miles,trip_status,promotion_id
VH00002,6995977,DR00002,63657166638,9/29/2024,Texas,Texas,23.17,Completed,PRKMNU
VH00018,7585457,DR00018,84996548859,9/1/2024,Alabama,Indiana,13.89,Completed,PRMKMR
VH00020,2829457,DR00020,18168427573,9/19/2024,Minnesota,Illinois,32.88,Completed,PRMKMR
VH00015,9841373,DR00015,34814787531,9/7/2024,Colorado,Massachusetts,11.4,Completed,MNUKMR
VH00015,4315849,DR00015,58819534892,9/15/2024,District of Columbia,Tennessee,28.79,Completed,LKHISD
VH00017,3219965,DR00017,64148137233,9/25/2024,Kansas,Pennsylvania,22.49,Completed,PRKMNU
VH00005,6229965,DR00005,32838789711,9/17/2024,California,Nevada,30.94,Trip Failed,MNUKMR
VH00015,4628115,DR00015,87964532881,9/17/2024,Pennsylvania,Delaware,16.72,Trip Failed,PRMKMR
VH00015,7935971,DR00015,57646393913,9/17/2024,Oklahoma,California,23.19,Completed,N/A
VH00002,6966474,DR00002,34552619955,9/11/2024,Texas,Michigan,36.71,Completed,RVKMRG
VH00017,8925796,DR00017,72775644325,9/25/2024,Nevada,Arizona,22.91,Completed,RVKMRG
VH00009,8599466,DR00009,98194821683,9/3/2024,Iowa,California,28.84,Completed,LKHISD
VH00012,6632529,DR00012,15624766867,9/13/2024,Arkansas,California,10.33,Completed,LKHISD
VH00007,8552798,DR00007,78745368716,9/11/2024,Florida,Tennessee,19.73,Completed,MKSMPK
VH00002,6675644,DR00002,43423354951,9/28/2024,Texas,Pennsylvania,16.25,Completed,MNUKMR
VH00006,3415441,DR00006,93971898392,9/11/2024,Indiana,Pennsylvania,38.83,Completed,N/A
VH00014,4816383,DR00014,82489998667,9/23/2024,Missouri,Iowa,23.89,Completed,PRMKMR
VH00005,5298396,DR00005,96552417755,9/29/2024,Florida,Idaho,12.14,Completed,NEWUSR
VH00003,6528476,DR00003,99686123181,9/28/2024,Arkansas,Minnesota,39.71,Completed,N/A
VH00017,6981129,DR00017,26429631894,9/9/2024,Illinois,New York,27.8,Completed,MNUKMR
VH00013,3514761,DR00013,27513132852,9/28/2024,Colorado,Kentucky,28.96,Trip Failed,PRMKMR
VH00019,6726732,DR00019,18639966454,9/15/2024,Georgia,Tennessee,35.04,Completed,PRMKMR
VH00004,5832267,DR00004,26986787734,9/26/2024,Ohio,Georgia,35.4,Completed,N/A
VH00017,2949556,DR00017,99327739889,9/12/2024,Virginia,Texas,29.7,Completed,PRKMNU
VH00011,9614423,DR00011,59623898789,9/21/2024,Alabama,North Carolina,30.33,Completed,PRMKMR
VH00019,9159666,DR00019,29763722966,9/8/2024,Massachusetts,District of Columbia,18.97,Completed,LKHISD
VH00004,8271274,DR00004,79853839573,9/11/2024,Florida,District of Columbia,39.95,Completed,PRKMNU
VH00010,4724685,DR00010,48579138555,9/15/2024,Florida,California,25.33,Completed,MKSMPK
VH00002,3589894,DR00002,42347739654,9/29/2024,Virginia,Texas,20.31,Completed,LKHISD
VH00020,4883193,DR00020,86842528676,9/12/2024,Illinois,Indiana,12.35,Completed,RVKMRG
VH00010,1419214,DR00010,19269764144,9/23/2024,District of Columbia,California,20.03,Completed,PRMKMR
VH00012,7361345,DR00012,19937953962,9/15/2024,Virginia,Texas,15.09,Completed,PRKMNU
VH00003,4515697,DR00003,37582317967,9/5/2024,Texas,California,35.24,Completed,RVKMRG
VH00003,2926931,DR00003,58834915395,9/17/2024,Wisconsin,Florida,28.54,Completed,PRKMNU
VH00012,5942626,DR00012,74113929181,9/26/2024,Illinois,California,28.73,Completed,NEWUSR
VH00003,9869187,DR00003,33744586496,9/8/2024,California,District of Columbia,35.56,Completed,NEWUSR
VH00006,1436316,DR00006,43847517251,9/3/2024,District of Columbia,New York,22.32,Completed,PRKMNU
VH00012,1281654,DR00012,83359791356,9/27/2024,Texas,Illinois,18.39,Completed,MKSMPK
VH00015,7342997,DR00015,64137236122,9/14/2024,Virginia,Nevada,18.4,Completed,MNUKMR
VH00007,7771578,DR00007,57379945749,9/9/2024,Pennsylvania,Utah,32.98,Completed,MNUKMR
VH00007,3753613,DR00007,79431749491,9/9/2024,Texas,Maryland,27.07,Completed,MNUKMR
VH00001,4728433,DR00001,28595656375,9/25/2024,Indiana,New Jersey,19.2,Completed,PRMKMR
VH00017,2525498,DR00017,37718699289,9/24/2024,Nebraska,Pennsylvania,36.06,Completed,RVKMRG
VH00005,4469985,DR00005,59878597568,9/28/2024,Florida,California,28.89,Completed,RVKMRG
VH00013,5348354,DR00013,89444344389,9/17/2024,Pennsylvania,California,25.74,Completed,N/A
VH00016,4321833,DR00016,34175751815,9/9/2024,California,Florida,19.25,Completed,MNUKMR
VH00002,2447872,DR00002,55342281628,9/24/2024,California,Oklahoma,35.58,Completed,RVKMRG
VH00014,6997394,DR00014,39275976637,9/13/2024,Texas,South Carolina,27.42,Trip Failed,PRKMNU
VH00018,4478674,DR00018,99515772667,9/23/2024,Texas,New York,39.1,Completed,NEWUSR
VH00008,8877453,DR00008,66657994379,9/15/2024,Arizona,Florida,30.52,Completed,LKHISD
VH00014,8777351,DR00014,93161355774,9/13/2024,Virginia,Ohio,27.82,Completed,PRMKMR
VH00010,3995787,DR00010,99276746388,9/16/2024,Illinois,Florida,28.14,Completed,RVKMRG
VH00017,9823554,DR00017,69338819258,9/8/2024,Texas,Tennessee,15.5,Completed,MKSMPK
VH00010,1489486,DR00010,73653183383,9/11/2024,California,Ohio,15.84,Completed,NEWUSR
VH00015,6269567,DR00015,21784783488,9/18/2024,Kansas,New Jersey,29.98,Completed,RVKMRG
VH00011,2486827,DR00011,53567214596,9/24/2024,Maryland,Massachusetts,27.62,Completed,RVKMRG
VH00005,5639982,DR00005,24151654869,9/7/2024,Kansas,Louisiana,28.31,Completed,MKSMPK
VH00019,9585753,DR00019,65284223598,9/18/2024,Indiana,Massachusetts,18.2,Completed,PRMKMR
VH00001,3549799,DR00001,22797133836,9/11/2024,Georgia,Kentucky,29.58,Completed,MKSMPK
VH00019,6667653,DR00019,36713341268,9/10/2024,Alaska,Kentucky,15.42,Completed,RVKMRG
VH00019,6118934,DR00019,97513216212,9/7/2024,Colorado,Texas,17.59,Completed,LKHISD
VH00013,8461297,DR00013,47783576883,9/8/2024,California,Nevada,23.36,Completed,PRKMNU
VH00005,9714842,DR00005,13285416688,9/11/2024,Minnesota,Connecticut,14.71,Completed,PRMKMR
VH00016,3858861,DR00016,29642361727,9/27/2024,New York,California,33.81,Trip Failed,RVKMRG
VH00004,3181393,DR00004,25921555322,9/6/2024,Nebraska,North Carolina,25.4,Completed,PRKMNU
VH00001,2363177,DR00001,63472284751,9/12/2024,District of Columbia,Michigan,37.71,Completed,MNUKMR
VH00005,8757276,DR00005,68623643837,9/2/2024,California,Indiana,20.5,Completed,RVKMRG
VH00020,6442852,DR00020,59868877187,9/5/2024,Michigan,New York,19.77,Trip Failed,MNUKMR
VH00017,9225291,DR00017,17517919457,9/5/2024,Ohio,Ohio,37.96,Completed,N/A
VH00009,5797556,DR00009,48549424842,9/29/2024,New York,Oklahoma,13.28,Completed,NEWUSR
VH00004,8754569,DR00004,13643627257,9/12/2024,Delaware,Missouri,10.85,Completed,LKHISD
VH00016,6161751,DR00016,83131529698,9/19/2024,Iowa,Alabama,13.65,Completed,RVKMRG
VH00016,1966796,DR00016,81631778164,9/13/2024,Alabama,New York,39.73,Completed,MNUKMR
VH00002,5981366,DR00002,77259832247,9/29/2024,California,Texas,25.38,Completed,PRMKMR
VH00001,5994497,DR00001,33377354618,9/20/2024,Oregon,Illinois,28.64,Completed,LKHISD
VH00016,3426885,DR00016,22588825499,9/21/2024,Texas,Tennessee,20.58,Completed,MNUKMR
VH00017,9266936,DR00017,84997798356,9/25/2024,Illinois,Florida,34.32,Completed,MKSMPK
VH00006,6643666,DR00006,65784929461,9/10/2024,Texas,Missouri,37.87,Completed,MNUKMR
VH00014,6512425,DR00014,86997625767,9/29/2024,Texas,North Carolina,16.85,Trip Failed,RVKMRG
VH00018,4564149,DR00018,92619945935,9/23/2024,California,Louisiana,23.47,Completed,PRKMNU
VH00008,7626747,DR00008,41596893542,9/13/2024,Colorado,Kentucky,24.94,Completed,PRMKMR
VH00020,4571426,DR00020,37654186711,9/29/2024,California,District of Columbia,31.77,Completed,MKSMPK
VH00010,8653454,DR00010,67834611793,9/29/2024,Texas,New York,13.93,Completed,RVKMRG
VH00007,4963522,DR00007,43465776129,9/1/2024,South Carolina,Ohio,31.93,Completed,RVKMRG
VH00015,8751793,DR00015,21966686888,9/25/2024,Georgia,Texas,13.63,Completed,PRMKMR
VH00017,3231445,DR00017,64432822987,9/29/2024,Texas,Oklahoma,13.08,Completed,MKSMPK
VH00012,2722547,DR00012,66686521641,9/8/2024,Texas,Louisiana,21.29,Trip Failed,MKSMPK
VH00016,5477717,DR00016,57534258137,9/22/2024,Ohio,Texas,16.09,Completed,MNUKMR
VH00020,5657981,DR00020,79287262693,9/17/2024,Oklahoma,Louisiana,29.13,Completed,LKHISD
VH00005,1897793,DR00005,13496288261,9/16/2024,Nevada,Arizona,37.4,Completed,MKSMPK
VH00011,1419349,DR00011,48279989934,9/22/2024,Texas,Arizona,31.88,Completed,PRKMNU
VH00014,1217278,DR00014,84818747128,9/10/2024,Wisconsin,Illinois,12.22,Trip Failed,MKSMPK
VH00001,8142915,DR00001,92439897126,9/24/2024,California,South Carolina,11.5,Completed,MNUKMR
VH00003,8374985,DR00003,91976472431,9/6/2024,Utah,Florida,37.78,Trip Failed,PRMKMR
VH00017,9616955,DR00017,15574131685,9/21/2024,Texas,New York,27.12,Completed,PRMKMR
VH00017,9762656,DR00017,71761411615,9/1/2024,Georgia,California,39.08,Completed,NEWUSR
VH00016,2455565,DR00016,47223918936,9/29/2024,Kansas,New York,14.43,Trip Failed,LKHISD
VH00009,8312362,DR00009,52951426827,9/24/2024,Pennsylvania,Texas,24.77,Completed,NEWUSR
VH00016,3159689,DR00016,17986916393,9/7/2024,District of Columbia,Kentucky,25.39,Completed,PRKMNU
VH00001,3874475,DR00001,52453949381,9/7/2024,Tennessee,California,28.59,Completed,RVKMRG
VH00009,3573895,DR00009,99254736945,9/2/2024,District of Columbia,Texas,39.99,Completed,LKHISD
VH00009,9514421,DR00009,35314428856,9/18/2024,Florida,South Carolina,36.77,Completed,N/A
VH00011,9256553,DR00011,35355816414,9/21/2024,New York,Florida,18.34,Completed,N/A
VH00001,7472694,DR00001,87182731937,9/12/2024,New York,Indiana,15.18,Completed,LKHISD
